,Rank,Player 1,Player 2,Stage,Winner
2459,master-diamond,Samus,Mr. Game & Watch,Final Destination,Player 1
2460,master-platinum,Fox,Falco,Pokémon Stadium,Player 2
2461,master-diamond,Link,Peach,Battlefield,Player 1
2462,diamond-diamond,Fox,Sheik,Pokémon Stadium,Player 2
2463,platinum-platinum,Marth,Marth,Fountain of Dreams,Player 2
2464,diamond-diamond,Peach,Marth,Battlefield,Player 2
2465,master-master,Falco,Fox,Yoshi’s Story,Player 2
2466,master-master,Pikachu,Falco,Fountain of Dreams,Player 1
2467,master-diamond,Fox,Ice Climbers,Yoshi’s Story,Player 1
2468,master-platinum,Yoshi,Mewtwo,Final Destination,Player 1
2469,platinum-diamond,Fox,Dr. Mario,Yoshi’s Story,Player 2
2470,master-master,Falco,Peach,Pokémon Stadium,Player 2
2471,master-diamond,Dr. Mario,Roy,Yoshi’s Story,Player 1
2472,master-diamond,Fox,Fox,Fountain of Dreams,Player 1
2473,diamond-diamond,Ness,Falco,Pokémon Stadium,Player 2
2474,diamond-diamond,Fox,Sheik,Pokémon Stadium,Player 1
2475,master-diamond,Fox,Falco,Pokémon Stadium,Player 1
2476,master-diamond,Falco,Falco,Final Destination,Player 1
2477,platinum-platinum,Fox,Samus,Final Destination,Player 2
2478,diamond-diamond,Samus,Falco,Yoshi’s Story,Player 1
2479,master-platinum,Fox,Samus,Fountain of Dreams,Player 2
2480,master-platinum,Marth,Fox,Final Destination,Player 2
2481,platinum-diamond,Falco,Fox,Yoshi’s Story,Player 2
2482,platinum-diamond,Falco,Fox,Pokémon Stadium,Player 2
2483,master-diamond,Jigglypuff,Fox,Final Destination,Player 2
2484,diamond-diamond,Falco,Jigglypuff,Final Destination,Player 1
2485,diamond-diamond,Fox,Roy,Pokémon Stadium,Player 1
2486,master-master,Marth,Donkey Kong,Battlefield,Player 1
2487,diamond-diamond,Falco,Fox,Final Destination,Player 2
2488,master-diamond,Luigi,Falco,Pokémon Stadium,Player 2
2489,master-platinum,Ice Climbers,Fox,Battlefield,Player 2
2490,master-diamond,Fox,Falco,Final Destination,Player 2
2491,platinum-diamond,Marth,Samus,Final Destination,Player 1
2492,master-diamond,Jigglypuff,Falco,Final Destination,Player 1
2493,platinum-diamond,Falco,Ganondorf,Yoshi’s Story,Player 2
2494,diamond-diamond,Peach,Fox,Final Destination,Player 1
2495,master-diamond,Peach,Fox,Pokémon Stadium,Player 2
2496,master-diamond,Sheik,Marth,Final Destination,Player 2
2497,master-platinum,Marth,Pikachu,Yoshi’s Story,Player 2
2498,master-platinum,Captain Falcon,Roy,Yoshi’s Story,Player 1
2499,master-diamond,Link,Sheik,Yoshi’s Story,Player 1
2500,master-diamond,Fox,Falco,Pokémon Stadium,Player 1
2501,master-master,Captain Falcon,Ice Climbers,Final Destination,Player 1
2502,platinum-diamond,Fox,Marth,Pokémon Stadium,Player 2
2503,diamond-diamond,Fox,Fox,Final Destination,Player 2
2504,master-master,Jigglypuff,Fox,Fountain of Dreams,Player 2
2505,master-diamond,Dr. Mario,Falco,Pokémon Stadium,Player 2
2506,master-platinum,Samus,Samus,Dream Land,Player 1
2507,diamond-diamond,Falco,Falco,Fountain of Dreams,Player 1
2508,master-diamond,Bowser,Jigglypuff,Fountain of Dreams,Player 1
2509,platinum-diamond,Falco,Falco,Pokémon Stadium,Player 1
2510,master-diamond,Falco,Fox,Final Destination,Player 2
2511,platinum-diamond,Fox,Fox,Final Destination,Player 2
2512,diamond-diamond,Ice Climbers,Falco,Fountain of Dreams,Player 1
2513,master-diamond,Falco,Jigglypuff,Pokémon Stadium,Player 1
2514,platinum-platinum,Pikachu,Fox,Battlefield,Player 2
2515,master-platinum,Jigglypuff,Marth,Final Destination,Player 1
2516,master-master,Ice Climbers,Fox,Final Destination,Player 2
2517,platinum-diamond,Falco,Falco,Final Destination,Player 2
2518,master-diamond,Sheik,Pikachu,Dream Land,Player 2
2519,platinum-diamond,Luigi,Falco,Final Destination,Player 2
2520,master-diamond,Fox,Falco,Final Destination,Player 2
2521,diamond-diamond,Mewtwo,Fox,Pokémon Stadium,Player 1
2522,diamond-diamond,Falco,Jigglypuff,Dream Land,Player 2
2523,master-master,Captain Falcon,Fox,Final Destination,Player 2
2524,master-master,Samus,Peach,Battlefield,Player 2
2525,master-platinum,Falco,Peach,Fountain of Dreams,Player 1
2526,platinum-platinum,Falco,Fox,Pokémon Stadium,Player 1
2527,master-master,Fox,Captain Falcon,Pokémon Stadium,Player 2
2528,master-platinum,Fox,Jigglypuff,Final Destination,Player 1
2529,master-diamond,Falco,Mr. Game & Watch,Pokémon Stadium,Player 1
2530,platinum-diamond,Peach,Fox,Yoshi’s Story,Player 1
2531,diamond-diamond,Marth,Yoshi,Yoshi’s Story,Player 2
2532,master-platinum,Captain Falcon,Marth,Yoshi’s Story,Player 2
2533,master-diamond,Fox,Fox,Yoshi’s Story,Player 2
2534,platinum-platinum,Sheik,Fox,Dream Land,Player 1
2535,master-master,Link,Fox,Pokémon Stadium,Player 2
2536,master-platinum,Fox,Luigi,Fountain of Dreams,Player 1
2537,master-diamond,Falco,Fox,Final Destination,Player 1
2538,master-platinum,Sheik,Ganondorf,Pokémon Stadium,Player 1
2539,master-diamond,Sheik,Marth,Yoshi’s Story,Player 1
2540,platinum-diamond,Sheik,Ice Climbers,Final Destination,Player 2
2541,master-diamond,Marth,Fox,Dream Land,Player 1
2542,platinum-diamond,Marth,Falco,Final Destination,Player 1
2543,diamond-diamond,Falco,Ness,Yoshi’s Story,Player 1
2544,diamond-diamond,Falco,Ness,Pokémon Stadium,Player 1
2545,master-diamond,Captain Falcon,Marth,Final Destination,Player 1
2546,diamond-diamond,Falco,Ness,Dream Land,Player 1
2547,master-platinum,Fox,Captain Falcon,Final Destination,Player 1
2548,platinum-diamond,Fox,Fox,Final Destination,Player 1
2549,platinum-platinum,Fox,Marth,Pokémon Stadium,Player 1
2550,master-platinum,Samus,Fox,Final Destination,Player 1
2551,master-platinum,Captain Falcon,Marth,Yoshi’s Story,Player 1
2552,platinum-diamond,Captain Falcon,Luigi,Battlefield,Player 2
2553,master-diamond,Marth,Fox,Pokémon Stadium,Player 1
2554,master-diamond,Fox,Ness,Fountain of Dreams,Player 1
2555,master-platinum,Samus,Fox,Final Destination,Player 2
2556,master-platinum,Captain Falcon,Peach,Final Destination,Player 1
2557,platinum-diamond,Captain Falcon,Ness,Final Destination,Player 2
2558,platinum-diamond,Fox,Falco,Pokémon Stadium,Player 1
2559,diamond-diamond,Ness,Mario,Dream Land,Player 2
2560,diamond-diamond,Sheik,Fox,Pokémon Stadium,Player 1
2561,master-diamond,Fox,Bowser,Final Destination,Player 2
2562,master-master,Fox,Fox,Yoshi’s Story,Player 1
2563,master-diamond,Falco,Sheik,Dream Land,Player 1
2564,master-master,Fox,Samus,Yoshi’s Story,Player 1
2565,master-diamond,Fox,Falco,Dream Land,Player 2
2566,platinum-platinum,Falco,Jigglypuff,Final Destination,Player 2
2567,platinum-diamond,Marth,Fox,Yoshi’s Story,Player 2
2568,master-platinum,Fox,Yoshi,Battlefield,Player 2
2569,platinum-platinum,Fox,Marth,Yoshi’s Story,Player 1
2570,diamond-diamond,Falco,Captain Falcon,Yoshi’s Story,Player 1
2571,master-diamond,Marth,Sheik,Pokémon Stadium,Player 1
2572,master-diamond,Sheik,Fox,Dream Land,Player 1
2573,master-master,Jigglypuff,Peach,Battlefield,Player 1
2574,master-diamond,Fox,Samus,Fountain of Dreams,Player 1
2575,master-master,Ganondorf,Jigglypuff,Final Destination,Player 1
2576,diamond-diamond,Dr. Mario,Mr. Game & Watch,Battlefield,Player 1
2577,platinum-platinum,Falco,Marth,Yoshi’s Story,Player 2
2578,diamond-diamond,Fox,Mr. Game & Watch,Final Destination,Player 2
2579,master-platinum,Jigglypuff,Fox,Final Destination,Player 2
2580,diamond-diamond,Falco,Peach,Final Destination,Player 2
2581,master-master,Sheik,Luigi,Yoshi’s Story,Player 2
2582,master-master,Jigglypuff,Fox,Final Destination,Player 1
2583,master-platinum,Fox,Falco,Battlefield,Player 1
2584,master-diamond,Yoshi,Falco,Battlefield,Player 1
2585,master-master,Bowser,Sheik,Final Destination,Player 2
2586,diamond-diamond,Ness,Luigi,Yoshi’s Story,Player 2
2587,master-diamond,Fox,Luigi,Final Destination,Player 2
2588,platinum-diamond,Falco,Fox,Yoshi’s Story,Player 2
2589,platinum-diamond,Fox,Peach,Pokémon Stadium,Player 2
2590,master-diamond,Marth,Peach,Final Destination,Player 2
2591,master-platinum,Jigglypuff,Marth,Fountain of Dreams,Player 1
2592,master-diamond,Marth,Pikachu,Final Destination,Player 1
2593,master-diamond,Marth,Falco,Dream Land,Player 1
2594,master-diamond,Falco,Fox,Battlefield,Player 2
2595,master-diamond,Jigglypuff,Sheik,Final Destination,Player 1
2596,master-diamond,Yoshi,Fox,Final Destination,Player 1
2597,platinum-platinum,Yoshi,Fox,Yoshi’s Story,Player 2
2598,platinum-platinum,Marth,Marth,Final Destination,Player 1
2599,platinum-diamond,Marth,Falco,Final Destination,Player 2
2600,platinum-diamond,Falco,Falco,Battlefield,Player 2
2601,master-master,Peach,Fox,Yoshi’s Story,Player 2
2602,diamond-diamond,Falco,Samus,Fountain of Dreams,Player 1
2603,master-master,Yoshi,Fox,Final Destination,Player 1
2604,master-platinum,Fox,Falco,Final Destination,Player 1
2605,master-platinum,Captain Falcon,Sheik,Final Destination,Player 1
2606,master-diamond,Fox,Peach,Fountain of Dreams,Player 2
2607,master-platinum,Fox,Marth,Yoshi’s Story,Player 1
2608,platinum-diamond,Peach,Sheik,Yoshi’s Story,Player 2
2609,master-diamond,Fox,Luigi,Final Destination,Player 2
2610,diamond-diamond,Fox,Yoshi,Final Destination,Player 1
2611,platinum-platinum,Falco,Fox,Pokémon Stadium,Player 1
2612,diamond-diamond,Mr. Game & Watch,Mario,Battlefield,Player 2
2613,platinum-platinum,Falco,Young Link,Yoshi’s Story,Player 2
2614,master-platinum,Falco,Falco,Yoshi’s Story,Player 2
2615,platinum-platinum,Marth,Marth,Final Destination,Player 1
2616,master-master,Fox,Captain Falcon,Dream Land,Player 1
2617,diamond-diamond,Marth,Ice Climbers,Battlefield,Player 1
2618,platinum-platinum,Peach,Falco,Fountain of Dreams,Player 2
2619,platinum-diamond,Falco,Falco,Yoshi’s Story,Player 2
2620,master-diamond,Falco,Fox,Dream Land,Player 2
2621,diamond-diamond,Peach,Jigglypuff,Final Destination,Player 1
2622,platinum-diamond,Captain Falcon,Fox,Final Destination,Player 1
2623,diamond-diamond,Samus,Captain Falcon,Final Destination,Player 2
2624,master-diamond,Bowser,Marth,Pokémon Stadium,Player 1
2625,master-platinum,Ice Climbers,Falco,Pokémon Stadium,Player 1
2626,platinum-platinum,Captain Falcon,Fox,Pokémon Stadium,Player 1
2627,diamond-diamond,Falco,Fox,Yoshi’s Story,Player 1
2628,platinum-platinum,Captain Falcon,Fox,Final Destination,Player 2
2629,master-diamond,Fox,Ness,Dream Land,Player 1
2630,platinum-diamond,Fox,Falco,Pokémon Stadium,Player 2
2631,diamond-diamond,Sheik,Marth,Final Destination,Player 2
2632,platinum-diamond,Sheik,Fox,Final Destination,Player 1
2633,diamond-diamond,Fox,Captain Falcon,Pokémon Stadium,Player 1
2634,diamond-diamond,Zelda/Sheik,Marth,Final Destination,Player 2
2635,master-diamond,Fox,Falco,Yoshi’s Story,Player 1
2636,platinum-diamond,Captain Falcon,Fox,Final Destination,Player 2
2637,master-platinum,Sheik,Ice Climbers,Pokémon Stadium,Player 1
2638,master-master,Ice Climbers,Falco,Pokémon Stadium,Player 1
2639,platinum-diamond,Roy,Captain Falcon,Dream Land,Player 2
2640,diamond-diamond,Fox,Fox,Battlefield,Player 1
2641,platinum-platinum,Sheik,Falco,Dream Land,Player 1
2642,platinum-platinum,Marth,Fox,Final Destination,Player 2
2643,diamond-diamond,Jigglypuff,Bowser,Final Destination,Player 1
2644,diamond-diamond,Fox,Fox,Yoshi’s Story,Player 1
2645,master-diamond,Mr. Game & Watch,Fox,Battlefield,Player 2
2646,diamond-diamond,Peach,Falco,Pokémon Stadium,Player 2
2647,master-platinum,Jigglypuff,Peach,Fountain of Dreams,Player 1
2648,master-diamond,Falco,Falco,Pokémon Stadium,Player 1
2649,diamond-diamond,Fox,Peach,Final Destination,Player 2
2650,diamond-diamond,Ganondorf,Falco,Yoshi’s Story,Player 1
2651,platinum-diamond,Ganondorf,Luigi,Battlefield,Player 2
2652,platinum-platinum,Mr. Game & Watch,Jigglypuff,Final Destination,Player 2
2653,master-diamond,Marth,Fox,Fountain of Dreams,Player 2
2654,platinum-diamond,Roy,Fox,Pokémon Stadium,Player 1
2655,diamond-diamond,Marth,Fox,Final Destination,Player 1
2656,platinum-diamond,Falco,Fox,Dream Land,Player 2
2657,master-master,Falco,Fox,Fountain of Dreams,Player 2
2658,master-diamond,Sheik,Fox,Pokémon Stadium,Player 1
2659,master-platinum,Marth,Falco,Final Destination,Player 2
2660,master-platinum,Falco,Fox,Pokémon Stadium,Player 1
2661,master-master,Fox,Fox,Dream Land,Player 2
2662,diamond-diamond,Peach,Jigglypuff,Fountain of Dreams,Player 1
2663,master-master,Marth,Fox,Final Destination,Player 2
2664,diamond-diamond,Ice Climbers,Captain Falcon,Final Destination,Player 2
2665,platinum-platinum,Falco,Falco,Pokémon Stadium,Player 1
2666,platinum-diamond,Samus,Fox,Fountain of Dreams,Player 1
2667,platinum-diamond,Falco,Samus,Fountain of Dreams,Player 2
2668,master-platinum,Sheik,Marth,Pokémon Stadium,Player 2
2669,platinum-diamond,Falco,Captain Falcon,Battlefield,Player 2
2670,diamond-diamond,Fox,Ganondorf,Pokémon Stadium,Player 1
2671,diamond-diamond,Fox,Fox,Dream Land,Player 1
2672,master-platinum,Mewtwo,Luigi,Pokémon Stadium,Player 1
2673,platinum-platinum,Captain Falcon,Captain Falcon,Yoshi’s Story,Player 2
2674,diamond-diamond,Fox,Falco,Yoshi’s Story,Player 2
2675,master-diamond,Dr. Mario,Yoshi,Yoshi’s Story,Player 2
2676,diamond-diamond,Ness,Captain Falcon,Dream Land,Player 1
2677,diamond-diamond,Fox,Dr. Mario,Final Destination,Player 1
2678,master-platinum,Samus,Fox,Final Destination,Player 1
2679,master-master,Falco,Sheik,Final Destination,Player 1
2680,master-master,Sheik,Ganondorf,Final Destination,Player 2
2681,master-diamond,Marth,Marth,Final Destination,Player 1
2682,platinum-diamond,Falco,Link,Pokémon Stadium,Player 1
2683,platinum-platinum,Fox,Sheik,Pokémon Stadium,Player 1
2684,master-platinum,Fox,Fox,Yoshi’s Story,Player 1
2685,master-master,Fox,Fox,Yoshi’s Story,Player 2
2686,platinum-diamond,Fox,Yoshi,Yoshi’s Story,Player 2
2687,platinum-platinum,Marth,Falco,Yoshi’s Story,Player 2
2688,platinum-diamond,Falco,Fox,Yoshi’s Story,Player 1
2689,master-platinum,Fox,Falco,Fountain of Dreams,Player 2
2690,master-diamond,Falco,Peach,Final Destination,Player 1
2691,diamond-diamond,Falco,Marth,Final Destination,Player 2
2692,master-master,Samus,Falco,Fountain of Dreams,Player 2
2693,master-platinum,Falco,Sheik,Final Destination,Player 1
2694,diamond-diamond,Fox,Jigglypuff,Pokémon Stadium,Player 2
2695,master-platinum,Fox,Captain Falcon,Final Destination,Player 1
2696,diamond-diamond,Samus,Fox,Final Destination,Player 1
2697,platinum-diamond,Dr. Mario,Fox,Final Destination,Player 1
2698,platinum-platinum,Peach,Falco,Yoshi’s Story,Player 1
2699,master-diamond,Falco,Pikachu,Yoshi’s Story,Player 2
2700,master-diamond,Dr. Mario,Marth,Battlefield,Player 2
2701,platinum-platinum,Falco,Ganondorf,Yoshi’s Story,Player 2
2702,platinum-platinum,Marth,Captain Falcon,Pokémon Stadium,Player 1
2703,diamond-diamond,Sheik,Peach,Yoshi’s Story,Player 2
2704,platinum-diamond,Peach,Falco,Dream Land,Player 2
2705,master-diamond,Captain Falcon,Falco,Yoshi’s Story,Player 2
2706,master-diamond,Marth,Sheik,Pokémon Stadium,Player 1
2707,platinum-platinum,Fox,Marth,Final Destination,Player 2
2708,master-platinum,Pikachu,Peach,Battlefield,Player 1
2709,platinum-platinum,Luigi,Marth,Battlefield,Player 1
2710,diamond-diamond,Ganondorf,Ice Climbers,Fountain of Dreams,Player 2
2711,platinum-platinum,Ganondorf,Falco,Final Destination,Player 2
2712,master-diamond,Peach,Falco,Yoshi’s Story,Player 1
2713,diamond-diamond,Falco,Fox,Yoshi’s Story,Player 1
2714,platinum-platinum,Fox,Fox,Final Destination,Player 1
2715,platinum-diamond,Marth,Falco,Yoshi’s Story,Player 1
2716,platinum-platinum,Peach,Fox,Yoshi’s Story,Player 2
2717,master-diamond,Falco,Fox,Battlefield,Player 2
2718,platinum-platinum,Peach,Captain Falcon,Final Destination,Player 2
2719,diamond-diamond,Falco,Sheik,Final Destination,Player 2
2720,platinum-platinum,Marth,Sheik,Final Destination,Player 2
2721,master-platinum,Fox,Marth,Yoshi’s Story,Player 2
2722,master-diamond,Marth,Jigglypuff,Fountain of Dreams,Player 1
2723,master-diamond,Marth,Fox,Final Destination,Player 2
2724,diamond-diamond,Jigglypuff,Ice Climbers,Pokémon Stadium,Player 1
2725,master-master,Yoshi,Jigglypuff,Final Destination,Player 2
2726,platinum-platinum,Yoshi,Fox,Dream Land,Player 1
2727,diamond-diamond,Samus,Ice Climbers,Final Destination,Player 2
2728,diamond-diamond,Samus,Fox,Yoshi’s Story,Player 2
2729,diamond-diamond,Fox,Jigglypuff,Pokémon Stadium,Player 2
2730,diamond-diamond,Peach,Marth,Fountain of Dreams,Player 2
2731,diamond-diamond,Fox,Falco,Yoshi’s Story,Player 1
2732,platinum-diamond,Ice Climbers,Fox,Fountain of Dreams,Player 2
2733,master-diamond,Sheik,Fox,Battlefield,Player 1
2734,platinum-platinum,Marth,Marth,Yoshi’s Story,Player 2
2735,master-platinum,Falco,Fox,Yoshi’s Story,Player 2
2736,master-diamond,Pikachu,Ness,Yoshi’s Story,Player 1
2737,master-platinum,Jigglypuff,Peach,Pokémon Stadium,Player 1
2738,platinum-platinum,Luigi,Peach,Fountain of Dreams,Player 2
2739,master-master,Falco,Samus,Pokémon Stadium,Player 1
2740,master-diamond,Fox,Peach,Fountain of Dreams,Player 2
2741,master-diamond,Jigglypuff,Falco,Final Destination,Player 1
2742,master-diamond,Jigglypuff,Fox,Final Destination,Player 2
2743,platinum-diamond,Peach,Falco,Pokémon Stadium,Player 1
2744,platinum-platinum,Fox,Jigglypuff,Dream Land,Player 1
2745,master-platinum,Falco,Marth,Final Destination,Player 1
2746,master-master,Pikachu,Falco,Fountain of Dreams,Player 1
2747,master-platinum,Jigglypuff,Dr. Mario,Final Destination,Player 1
2748,master-master,Fox,Peach,Final Destination,Player 1
2749,platinum-diamond,Fox,Dr. Mario,Final Destination,Player 1
2750,master-diamond,Falco,Falco,Pokémon Stadium,Player 1
2751,master-platinum,Yoshi,Falco,Final Destination,Player 1
2752,diamond-diamond,Fox,Falco,Pokémon Stadium,Player 1
2753,master-master,Sheik,Fox,Dream Land,Player 1
2754,platinum-diamond,Fox,Fox,Pokémon Stadium,Player 2
2755,master-diamond,Zelda/Sheik,Jigglypuff,Final Destination,Player 2
2756,master-platinum,Falco,Falco,Pokémon Stadium,Player 1
2757,platinum-diamond,Peach,Fox,Fountain of Dreams,Player 2
2758,master-platinum,Marth,Fox,Dream Land,Player 1
2759,master-diamond,Marth,Sheik,Yoshi’s Story,Player 2
2760,diamond-diamond,Falco,Falco,Final Destination,Player 1
2761,master-diamond,Captain Falcon,Falco,Battlefield,Player 1
2762,master-diamond,Captain Falcon,Fox,Final Destination,Player 2
2763,master-master,Pikachu,Falco,Yoshi’s Story,Player 2
2764,master-platinum,Yoshi,Fox,Yoshi’s Story,Player 1
2765,master-master,Fox,Marth,Pokémon Stadium,Player 2
2766,platinum-platinum,Falco,Falco,Pokémon Stadium,Player 1
2767,platinum-diamond,Marth,Captain Falcon,Battlefield,Player 1
2768,master-platinum,Fox,Link,Yoshi’s Story,Player 1
2769,platinum-platinum,Falco,Fox,Pokémon Stadium,Player 2
2770,platinum-platinum,Falco,Fox,Final Destination,Player 2
2771,master-master,Pikachu,Fox,Yoshi’s Story,Player 2
2772,platinum-diamond,Jigglypuff,Captain Falcon,Final Destination,Player 1
2773,master-platinum,Fox,Fox,Final Destination,Player 1
2774,master-master,Ganondorf,Sheik,Dream Land,Player 1
2775,platinum-diamond,Captain Falcon,Falco,Fountain of Dreams,Player 2
2776,master-diamond,Jigglypuff,Fox,Final Destination,Player 1
2777,diamond-diamond,Samus,Falco,Final Destination,Player 1
2778,master-platinum,Jigglypuff,Fox,Final Destination,Player 1
2779,master-diamond,Falco,Ness,Dream Land,Player 1
2780,platinum-platinum,Captain Falcon,Marth,Final Destination,Player 1
2781,master-diamond,Luigi,Fox,Fountain of Dreams,Player 1
2782,platinum-diamond,Sheik,Marth,Fountain of Dreams,Player 1
2783,master-platinum,Marth,Falco,Pokémon Stadium,Player 1
2784,diamond-diamond,Fox,Falco,Dream Land,Player 2
2785,master-diamond,Falco,Jigglypuff,Fountain of Dreams,Player 2
2786,diamond-diamond,Ice Climbers,Mr. Game & Watch,Battlefield,Player 2
2787,platinum-platinum,Captain Falcon,Falco,Pokémon Stadium,Player 1
2788,master-diamond,Luigi,Marth,Final Destination,Player 1
2789,master-platinum,Jigglypuff,Fox,Final Destination,Player 1
2790,master-master,Fox,Fox,Battlefield,Player 2
2791,diamond-diamond,Fox,Peach,Pokémon Stadium,Player 2
2792,platinum-diamond,Falco,Marth,Fountain of Dreams,Player 2
2793,diamond-diamond,Link,Marth,Final Destination,Player 2
2794,platinum-platinum,Fox,Luigi,Final Destination,Player 2
2795,master-master,Captain Falcon,Marth,Final Destination,Player 1
2796,master-master,Ganondorf,Captain Falcon,Yoshi’s Story,Player 1
2797,master-master,Samus,Jigglypuff,Fountain of Dreams,Player 1
2798,master-diamond,Marth,Falco,Final Destination,Player 1
2799,master-master,Fox,Ice Climbers,Final Destination,Player 2
2800,platinum-diamond,Captain Falcon,Falco,Yoshi’s Story,Player 2
2801,master-master,Fox,Donkey Kong,Pokémon Stadium,Player 2
2802,platinum-platinum,Fox,Falco,Yoshi’s Story,Player 1
2803,diamond-diamond,Marth,Fox,Pokémon Stadium,Player 1
2804,master-platinum,Roy,Jigglypuff,Fountain of Dreams,Player 1
2805,diamond-diamond,Sheik,Ice Climbers,Yoshi’s Story,Player 2
2806,master-master,Pikachu,Marth,Final Destination,Player 2
2807,master-diamond,Fox,Falco,Final Destination,Player 1
2808,platinum-diamond,Jigglypuff,Fox,Final Destination,Player 2
2809,platinum-platinum,Falco,Marth,Pokémon Stadium,Player 1
2810,diamond-diamond,Jigglypuff,Fox,Pokémon Stadium,Player 2
2811,diamond-diamond,Falco,Falco,Pokémon Stadium,Player 2
2812,platinum-diamond,Peach,Sheik,Pokémon Stadium,Player 1
2813,master-platinum,Dr. Mario,Luigi,Yoshi’s Story,Player 1
2814,master-platinum,Fox,Marth,Battlefield,Player 1
2815,master-diamond,Captain Falcon,Pikachu,Final Destination,Player 2
2816,master-diamond,Fox,Fox,Yoshi’s Story,Player 1
2817,diamond-diamond,Peach,Jigglypuff,Yoshi’s Story,Player 2
2818,platinum-platinum,Falco,Falco,Fountain of Dreams,Player 1
2819,master-master,Marth,Fox,Yoshi’s Story,Player 2
2820,master-diamond,Captain Falcon,Falco,Battlefield,Player 2
2821,platinum-diamond,Marth,Falco,Pokémon Stadium,Player 1
2822,platinum-diamond,Fox,Fox,Yoshi’s Story,Player 2
2823,master-master,Sheik,Falco,Yoshi’s Story,Player 2
2824,master-master,Ice Climbers,Fox,Yoshi’s Story,Player 2
2825,master-diamond,Marth,Marth,Yoshi’s Story,Player 1
2826,diamond-diamond,Fox,Peach,Battlefield,Player 1
2827,platinum-platinum,Marth,Ganondorf,Fountain of Dreams,Player 1
2828,diamond-diamond,Mr. Game & Watch,Fox,Yoshi’s Story,Player 2
2829,master-diamond,Mewtwo,Fox,Pokémon Stadium,Player 1
2830,master-diamond,Fox,Samus,Yoshi’s Story,Player 2
2831,diamond-diamond,Peach,Ganondorf,Fountain of Dreams,Player 1
2832,platinum-diamond,Yoshi,Falco,Yoshi’s Story,Player 2
2833,master-diamond,Fox,Fox,Pokémon Stadium,Player 2
2834,diamond-diamond,Fox,Jigglypuff,Final Destination,Player 1
2835,master-platinum,Jigglypuff,Falco,Pokémon Stadium,Player 1
2836,master-master,Marth,Marth,Final Destination,Player 2
2837,master-platinum,Ice Climbers,Falco,Final Destination,Player 2
2838,master-master,Jigglypuff,Jigglypuff,Final Destination,Player 2
2839,master-platinum,Marth,Mr. Game & Watch,Pokémon Stadium,Player 2
2840,diamond-diamond,Sheik,Fox,Dream Land,Player 1
2841,platinum-platinum,Captain Falcon,Ganondorf,Final Destination,Player 2
2842,master-platinum,Falco,Sheik,Final Destination,Player 2
2843,platinum-diamond,Jigglypuff,Fox,Final Destination,Player 1
2844,platinum-platinum,Captain Falcon,Luigi,Final Destination,Player 2
2845,master-diamond,Fox,Captain Falcon,Pokémon Stadium,Player 1
2846,diamond-diamond,Falco,Sheik,Final Destination,Player 1
2847,master-platinum,Pikachu,Captain Falcon,Final Destination,Player 1
2848,master-diamond,Ice Climbers,Peach,Fountain of Dreams,Player 1
2849,master-master,Yoshi,Samus,Final Destination,Player 1
2850,platinum-platinum,Fox,Falco,Fountain of Dreams,Player 1
2851,diamond-diamond,Falco,Falco,Pokémon Stadium,Player 1
2852,diamond-diamond,Peach,Captain Falcon,Yoshi’s Story,Player 2
2853,master-diamond,Ganondorf,Fox,Final Destination,Player 2
2854,master-diamond,Marth,Sheik,Final Destination,Player 1
2855,master-diamond,Ganondorf,Jigglypuff,Dream Land,Player 2
2856,master-diamond,Marth,Fox,Pokémon Stadium,Player 2
2857,diamond-diamond,Falco,Fox,Final Destination,Player 2
2858,platinum-platinum,Sheik,Captain Falcon,Yoshi’s Story,Player 1
2859,diamond-diamond,Marth,Fox,Fountain of Dreams,Player 2
2860,platinum-platinum,Fox,Falco,Pokémon Stadium,Player 2
2861,master-platinum,Fox,Fox,Yoshi’s Story,Player 1
2862,master-diamond,Yoshi,Pikachu,Final Destination,Player 1
2863,platinum-platinum,Marth,Fox,Dream Land,Player 2
2864,master-diamond,Marth,Ness,Final Destination,Player 1
2865,master-diamond,Pikachu,Marth,Fountain of Dreams,Player 1
2866,master-diamond,Falco,Captain Falcon,Yoshi’s Story,Player 2
2867,platinum-platinum,Falco,Captain Falcon,Dream Land,Player 2
2868,diamond-diamond,Falco,Marth,Yoshi’s Story,Player 1
2869,diamond-diamond,Jigglypuff,Falco,Yoshi’s Story,Player 1
2870,diamond-diamond,Mario,Marth,Pokémon Stadium,Player 2
2871,diamond-diamond,Fox,Captain Falcon,Final Destination,Player 1
2872,master-diamond,Link,Jigglypuff,Final Destination,Player 1
2873,master-platinum,Ganondorf,Sheik,Dream Land,Player 2
2874,master-master,Marth,Fox,Final Destination,Player 2
2875,diamond-diamond,Marth,Fox,Final Destination,Player 2
2876,platinum-platinum,Pikachu,Ice Climbers,Fountain of Dreams,Player 2
2877,diamond-diamond,Falco,Ice Climbers,Yoshi’s Story,Player 2
2878,master-platinum,Donkey Kong,Fox,Pokémon Stadium,Player 2
2879,diamond-diamond,Fox,Falco,Final Destination,Player 2
2880,platinum-diamond,Ice Climbers,Falco,Battlefield,Player 2
2881,master-diamond,Fox,Ness,Final Destination,Player 1
2882,diamond-diamond,Falco,Jigglypuff,Pokémon Stadium,Player 1
2883,platinum-diamond,Sheik,Fox,Yoshi’s Story,Player 1
2884,platinum-platinum,Falco,Sheik,Final Destination,Player 2
