Rank,Player 1,Player 2,Stage,Winner
platinum-diamond,Fox,Samus,Battlefield,Player 1
platinum-diamond,Fox,Falco,Yoshi’s Story,Player 1
platinum-diamond,Ice Climbers,Jigglypuff,Final Destination,Player 1
platinum-diamond,Falco,Falco,Battlefield,Player 1
platinum-diamond,Sheik,Bowser,Fountain of Dreams,Player 1
platinum-diamond,Marth,Falco,Pokémon Stadium,Player 1
platinum-diamond,Falco,Ness,Fountain of Dreams,Player 2
platinum-diamond,Captain Falcon,Falco,Pokémon Stadium,Player 2
platinum-diamond,Marth,Dr. Mario,Yoshi’s Story,Player 2
platinum-diamond,Marth,Falco,Final Destination,Player 1
platinum-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 2
platinum-diamond,Marth,Captain Falcon,Final Destination,Player 2
platinum-diamond,Fox,Captain Falcon,Pokémon Stadium,Player 1
platinum-diamond,Falco,Fox,Fountain of Dreams,Player 1
platinum-diamond,Marth,Falco,Yoshi’s Story,Player 1
platinum-diamond,Peach,Fox,Battlefield,Player 2
platinum-diamond,Captain Falcon,Luigi,Fountain of Dreams,Player 2
platinum-diamond,Fox,Falco,Final Destination,Player 2
platinum-diamond,Sheik,Marth,Final Destination,Player 1
platinum-diamond,Samus,Marth,Final Destination,Player 1
platinum-diamond,Sheik,Sheik,Yoshi’s Story,Player 2
platinum-diamond,Falco,Falco,Pokémon Stadium,Player 2
platinum-diamond,Fox,Falco,Pokémon Stadium,Player 2
platinum-diamond,Falco,Pichu,Final Destination,Player 1
platinum-diamond,Peach,Falco,Fountain of Dreams,Player 2
platinum-diamond,Jigglypuff,Captain Falcon,Final Destination,Player 1
platinum-platinum,Marth,Falco,Pokémon Stadium,Player 2
platinum-platinum,Fox,Falco,Final Destination,Player 2
platinum-platinum,Sheik,Sheik,Final Destination,Player 2
platinum-platinum,Fox,Falco,Yoshi’s Story,Player 2
platinum-platinum,Samus,Dr. Mario,Battlefield,Player 2
platinum-platinum,Dr. Mario,Fox,Yoshi’s Story,Player 2
platinum-platinum,Fox,Marth,Fountain of Dreams,Player 2
platinum-platinum,Captain Falcon,Falco,Battlefield,Player 2
platinum-platinum,Fox,Falco,Dream Land,Player 2
platinum-platinum,Captain Falcon,Fox,Pokémon Stadium,Player 1
platinum-platinum,Falco,Falco,Final Destination,Player 1
platinum-platinum,Falco,Jigglypuff,Final Destination,Player 2
platinum-platinum,Sheik,Peach,Battlefield,Player 1
platinum-platinum,Peach,Ice Climbers,Pokémon Stadium,Player 2
platinum-platinum,Fox,Falco,Pokémon Stadium,Player 1
platinum-platinum,Falco,Marth,Pokémon Stadium,Player 2
platinum-platinum,Link,Jigglypuff,Dream Land,Player 1
platinum-platinum,Mr. Game & Watch,Captain Falcon,Pokémon Stadium,Player 1
platinum-platinum,Peach,Fox,Final Destination,Player 1
platinum-platinum,Bowser,Sheik,Fountain of Dreams,Player 2
platinum-platinum,Fox,Falco,Dream Land,Player 2
platinum-platinum,Ness,Peach,Battlefield,Player 1
platinum-platinum,Dr. Mario,Fox,Dream Land,Player 2
platinum-platinum,Fox,Falco,Final Destination,Player 1
platinum-platinum,Marth,Fox,Yoshi’s Story,Player 2
platinum-platinum,Falco,Marth,Pokémon Stadium,Player 2
platinum-platinum,Marth,Marth,Pokémon Stadium,Player 2
platinum-platinum,Sheik,Marth,Final Destination,Player 1
platinum-platinum,Falco,Sheik,Yoshi’s Story,Player 1
platinum-platinum,Link,Fox,Final Destination,Player 2
platinum-platinum,Captain Falcon,Fox,Fountain of Dreams,Player 1
platinum-platinum,Peach,Captain Falcon,Fountain of Dreams,Player 1
platinum-platinum,Sheik,Peach,Final Destination,Player 2
platinum-platinum,Fox,Falco,Yoshi’s Story,Player 2
platinum-platinum,Marth,Samus,Yoshi’s Story,Player 1
platinum-platinum,Sheik,Yoshi,Fountain of Dreams,Player 1
platinum-platinum,Ganondorf,Peach,Yoshi’s Story,Player 1
platinum-platinum,Sheik,Marth,Final Destination,Player 2
platinum-platinum,Falco,Falco,Yoshi’s Story,Player 2
platinum-platinum,Luigi,Marth,Yoshi’s Story,Player 1
platinum-platinum,Marth,Falco,Yoshi’s Story,Player 2
platinum-platinum,Sheik,Falco,Fountain of Dreams,Player 2
platinum-platinum,Falco,Fox,Final Destination,Player 1
platinum-platinum,Captain Falcon,Peach,Final Destination,Player 1
platinum-platinum,Falco,Sheik,Final Destination,Player 1
platinum-platinum,Jigglypuff,Luigi,Final Destination,Player 2
platinum-platinum,Falco,Falco,Dream Land,Player 1
platinum-platinum,Fox,Captain Falcon,Yoshi’s Story,Player 1
platinum-platinum,Fox,Yoshi,Final Destination,Player 1
platinum-platinum,Peach,Marth,Final Destination,Player 2
platinum-platinum,Ganondorf,Fox,Final Destination,Player 2
platinum-platinum,Luigi,Peach,Fountain of Dreams,Player 2
platinum-diamond,Samus,Fox,Pokémon Stadium,Player 1
platinum-diamond,Roy,Falco,Dream Land,Player 1
platinum-diamond,Ganondorf,Fox,Final Destination,Player 1
platinum-diamond,Falco,Pikachu,Pokémon Stadium,Player 2
platinum-diamond,Falco,Falco,Pokémon Stadium,Player 2
platinum-diamond,Fox,Samus,Yoshi’s Story,Player 2
platinum-diamond,Peach,Captain Falcon,Pokémon Stadium,Player 2
platinum-diamond,Bowser,Ice Climbers,Pokémon Stadium,Player 1
platinum-diamond,Sheik,Sheik,Final Destination,Player 2
platinum-diamond,Ice Climbers,Fox,Fountain of Dreams,Player 2
platinum-diamond,Falco,Falco,Pokémon Stadium,Player 1
platinum-diamond,Peach,Fox,Dream Land,Player 2
master-diamond,Peach,Marth,Final Destination,Player 1
master-diamond,Falco,Marth,Fountain of Dreams,Player 2
master-diamond,Fox,Peach,Battlefield,Player 1
master-diamond,Peach,Fox,Dream Land,Player 1
master-diamond,Marth,Ness,Battlefield,Player 1
master-diamond,Samus,Peach,Final Destination,Player 2
master-diamond,Captain Falcon,Mewtwo,Yoshi’s Story,Player 1
master-diamond,Fox,Falco,Final Destination,Player 2
master-diamond,Falco,Mr. Game & Watch,Dream Land,Player 1
master-diamond,Fox,Peach,Yoshi’s Story,Player 1
master-diamond,Yoshi,Pikachu,Final Destination,Player 1
master-diamond,Falco,Peach,Pokémon Stadium,Player 2
master-diamond,Captain Falcon,Fox,Yoshi’s Story,Player 1
master-diamond,Fox,Luigi,Fountain of Dreams,Player 2
master-diamond,Fox,Yoshi,Final Destination,Player 2
master-diamond,Falco,Falco,Pokémon Stadium,Player 1
master-diamond,Fox,Ness,Fountain of Dreams,Player 1
master-diamond,Fox,Falco,Dream Land,Player 1
master-diamond,Fox,Luigi,Final Destination,Player 2
master-diamond,Ice Climbers,Sheik,Final Destination,Player 2
master-diamond,Ganondorf,Falco,Final Destination,Player 1
master-diamond,Sheik,Fox,Final Destination,Player 2
master-diamond,Falco,Fox,Battlefield,Player 1
master-diamond,Dr. Mario,Fox,Final Destination,Player 2
master-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 2
master-diamond,Luigi,Falco,Pokémon Stadium,Player 2
master-diamond,Captain Falcon,Jigglypuff,Yoshi’s Story,Player 2
master-diamond,Jigglypuff,Luigi,Pokémon Stadium,Player 2
master-diamond,Captain Falcon,Sheik,Pokémon Stadium,Player 1
master-diamond,Marth,Jigglypuff,Final Destination,Player 2
master-diamond,Fox,Falco,Yoshi’s Story,Player 1
master-diamond,Fox,Falco,Final Destination,Player 1
master-diamond,Samus,Marth,Final Destination,Player 2
master-diamond,Sheik,Fox,Dream Land,Player 1
master-diamond,Marth,Falco,Dream Land,Player 1
master-diamond,Samus,Sheik,Pokémon Stadium,Player 2
platinum-platinum,Falco,Marth,Battlefield,Player 1
master-diamond,Peach,Ganondorf,Pokémon Stadium,Player 1
master-diamond,Sheik,Dr. Mario,Yoshi’s Story,Player 1
platinum-platinum,Luigi,Captain Falcon,Yoshi’s Story,Player 1
platinum-platinum,Fox,Roy,Yoshi’s Story,Player 2
master-diamond,Falco,Sheik,Final Destination,Player 1
master-diamond,Marth,Mewtwo,Dream Land,Player 1
master-diamond,Jigglypuff,Fox,Final Destination,Player 1
master-diamond,Captain Falcon,Falco,Battlefield,Player 1
master-diamond,Captain Falcon,Falco,Pokémon Stadium,Player 1
master-diamond,Captain Falcon,Bowser,Fountain of Dreams,Player 1
master-diamond,Marth,Samus,Final Destination,Player 2
master-diamond,Fox,Fox,Fountain of Dreams,Player 1
platinum-platinum,Fox,Falco,Fountain of Dreams,Player 2
master-diamond,Mr. Game & Watch,Fox,Yoshi’s Story,Player 2
platinum-platinum,Dr. Mario,Falco,Yoshi’s Story,Player 2
master-diamond,Fox,Fox,Pokémon Stadium,Player 2
master-diamond,Jigglypuff,Marth,Fountain of Dreams,Player 1
master-diamond,Fox,Jigglypuff,Yoshi’s Story,Player 2
master-diamond,Falco,Captain Falcon,Yoshi’s Story,Player 2
platinum-platinum,Fox,Falco,Final Destination,Player 1
master-diamond,Dr. Mario,Fox,Yoshi’s Story,Player 2
master-diamond,Pikachu,Sheik,Final Destination,Player 2
master-diamond,Roy,Ice Climbers,Yoshi’s Story,Player 1
platinum-platinum,Sheik,Falco,Final Destination,Player 1
platinum-platinum,Fox,Fox,Dream Land,Player 1
master-diamond,Falco,Mewtwo,Final Destination,Player 2
master-diamond,Falco,Ice Climbers,Pokémon Stadium,Player 1
master-diamond,Sheik,Fox,Battlefield,Player 1
platinum-platinum,Fox,Sheik,Final Destination,Player 1
master-diamond,Falco,Fox,Final Destination,Player 1
master-diamond,Ganondorf,Captain Falcon,Yoshi’s Story,Player 1
master-diamond,Falco,Jigglypuff,Fountain of Dreams,Player 2
master-diamond,Samus,Captain Falcon,Battlefield,Player 1
platinum-platinum,Link,Falco,Fountain of Dreams,Player 1
master-diamond,Luigi,Fox,Final Destination,Player 2
master-diamond,Mewtwo,Captain Falcon,Final Destination,Player 2
platinum-platinum,Falco,Ganondorf,Yoshi’s Story,Player 2
platinum-platinum,Link,Fox,Final Destination,Player 2
platinum-platinum,Marth,Captain Falcon,Final Destination,Player 1
platinum-platinum,Fox,Falco,Yoshi’s Story,Player 1
platinum-platinum,Ganondorf,Luigi,Dream Land,Player 1
platinum-platinum,Peach,Jigglypuff,Yoshi’s Story,Player 2
platinum-platinum,Fox,Marth,Yoshi’s Story,Player 1
platinum-platinum,Sheik,Marth,Pokémon Stadium,Player 2
platinum-platinum,Falco,Fox,Dream Land,Player 2
platinum-platinum,Peach,Pikachu,Pokémon Stadium,Player 2
platinum-platinum,Falco,Peach,Fountain of Dreams,Player 2
platinum-platinum,Marth,Marth,Final Destination,Player 1
platinum-platinum,Sheik,Jigglypuff,Final Destination,Player 1
platinum-platinum,Falco,Fox,Final Destination,Player 2
platinum-platinum,Jigglypuff,Mario,Final Destination,Player 2
platinum-platinum,Peach,Marth,Yoshi’s Story,Player 1
platinum-platinum,Falco,Marth,Pokémon Stadium,Player 1
platinum-platinum,Peach,Fox,Fountain of Dreams,Player 2
platinum-platinum,Yoshi,Falco,Fountain of Dreams,Player 2
platinum-platinum,Fox,Falco,Yoshi’s Story,Player 1
platinum-platinum,Fox,Falco,Final Destination,Player 2
platinum-platinum,Falco,Young Link,Yoshi’s Story,Player 2
platinum-platinum,Fox,Captain Falcon,Fountain of Dreams,Player 1
platinum-platinum,Marth,Ganondorf,Yoshi’s Story,Player 2
platinum-platinum,Sheik,Marth,Battlefield,Player 1
platinum-platinum,Young Link,Fox,Yoshi’s Story,Player 2
platinum-platinum,Fox,Captain Falcon,Pokémon Stadium,Player 1
platinum-platinum,Fox,Marth,Battlefield,Player 2
platinum-platinum,Falco,Fox,Final Destination,Player 2
platinum-platinum,Peach,Sheik,Final Destination,Player 1
platinum-platinum,Yoshi,Fox,Dream Land,Player 1
platinum-platinum,Donkey Kong,Falco,Yoshi’s Story,Player 2
platinum-platinum,Captain Falcon,Falco,Fountain of Dreams,Player 1
platinum-platinum,Falco,Falco,Final Destination,Player 1
platinum-platinum,Fox,Falco,Pokémon Stadium,Player 2
platinum-platinum,Fox,Sheik,Dream Land,Player 1
master-diamond,Captain Falcon,Fox,Final Destination,Player 2
platinum-platinum,Jigglypuff,Captain Falcon,Final Destination,Player 1
platinum-platinum,Fox,Captain Falcon,Pokémon Stadium,Player 1
master-diamond,Marth,Fox,Dream Land,Player 1
platinum-platinum,Peach,Falco,Final Destination,Player 2
platinum-platinum,Fox,Jigglypuff,Yoshi’s Story,Player 2
platinum-platinum,Falco,Fox,Dream Land,Player 1
platinum-platinum,Sheik,Falco,Fountain of Dreams,Player 1
platinum-platinum,Falco,Yoshi,Battlefield,Player 1
platinum-platinum,Peach,Marth,Pokémon Stadium,Player 2
platinum-platinum,Jigglypuff,Fox,Pokémon Stadium,Player 1
platinum-platinum,Marth,Samus,Fountain of Dreams,Player 1
platinum-platinum,Fox,Fox,Fountain of Dreams,Player 2
platinum-platinum,Falco,Fox,Pokémon Stadium,Player 2
master-diamond,Sheik,Sheik,Final Destination,Player 1
platinum-platinum,Sheik,Falco,Final Destination,Player 2
platinum-platinum,Luigi,Ganondorf,Fountain of Dreams,Player 2
platinum-platinum,Falco,Captain Falcon,Dream Land,Player 2
platinum-platinum,Falco,Fox,Yoshi’s Story,Player 2
platinum-platinum,Fox,Peach,Final Destination,Player 2
platinum-platinum,Fox,Jigglypuff,Final Destination,Player 2
master-diamond,Fox,Falco,Fountain of Dreams,Player 1
platinum-platinum,Jigglypuff,Peach,Fountain of Dreams,Player 1
platinum-platinum,Fox,Captain Falcon,Final Destination,Player 1
platinum-platinum,Falco,Marth,Battlefield,Player 2
platinum-platinum,Luigi,Fox,Pokémon Stadium,Player 1
master-diamond,Fox,Captain Falcon,Yoshi’s Story,Player 1
platinum-platinum,Marth,Ice Climbers,Final Destination,Player 2
platinum-platinum,Fox,Sheik,Final Destination,Player 1
platinum-platinum,Marth,Marth,Fountain of Dreams,Player 2
platinum-platinum,Falco,Fox,Final Destination,Player 2
platinum-platinum,Fox,Falco,Dream Land,Player 1
platinum-platinum,Falco,Captain Falcon,Dream Land,Player 1
platinum-platinum,Fox,Peach,Fountain of Dreams,Player 1
platinum-platinum,Falco,Peach,Pokémon Stadium,Player 2
platinum-platinum,Falco,Donkey Kong,Pokémon Stadium,Player 2
platinum-platinum,Marth,Marth,Final Destination,Player 1
platinum-platinum,Marth,Fox,Yoshi’s Story,Player 2
platinum-platinum,Captain Falcon,Fox,Final Destination,Player 2
platinum-platinum,Fox,Marth,Pokémon Stadium,Player 2
master-diamond,Fox,Sheik,Fountain of Dreams,Player 1
platinum-platinum,Captain Falcon,Sheik,Yoshi’s Story,Player 2
platinum-platinum,Peach,Peach,Yoshi’s Story,Player 2
platinum-platinum,Jigglypuff,Peach,Battlefield,Player 1
platinum-platinum,Marth,Marth,Final Destination,Player 2
master-diamond,Falco,Fox,Final Destination,Player 2
master-diamond,Bowser,Marth,Pokémon Stadium,Player 1
master-diamond,Fox,Captain Falcon,Pokémon Stadium,Player 1
master-diamond,Falco,Falco,Pokémon Stadium,Player 1
master-diamond,Ganondorf,Falco,Dream Land,Player 2
master-diamond,Fox,Peach,Dream Land,Player 2
master-diamond,Dr. Mario,Ganondorf,Dream Land,Player 2
master-diamond,Falco,Marth,Pokémon Stadium,Player 1
master-diamond,Luigi,Ness,Fountain of Dreams,Player 1
master-diamond,Fox,Falco,Yoshi’s Story,Player 1
master-diamond,Peach,Peach,Final Destination,Player 1
master-diamond,Falco,Sheik,Dream Land,Player 2
master-diamond,Fox,Mewtwo,Pokémon Stadium,Player 1
master-diamond,Fox,Captain Falcon,Dream Land,Player 1
master-diamond,Fox,Marth,Yoshi’s Story,Player 1
master-diamond,Sheik,Falco,Final Destination,Player 1
master-diamond,Falco,Marth,Fountain of Dreams,Player 2
master-diamond,Luigi,Marth,Final Destination,Player 2
master-diamond,Samus,Mr. Game & Watch,Pokémon Stadium,Player 1
master-diamond,Jigglypuff,Falco,Final Destination,Player 1
master-diamond,Falco,Falco,Yoshi’s Story,Player 1
master-diamond,Samus,Fox,Dream Land,Player 1
master-diamond,Fox,Falco,Final Destination,Player 2
master-diamond,Fox,Falco,Yoshi’s Story,Player 2
master-diamond,Jigglypuff,Fox,Yoshi’s Story,Player 2
master-diamond,Samus,Sheik,Final Destination,Player 2
master-diamond,Yoshi,Fox,Final Destination,Player 1
master-diamond,Fox,Falco,Final Destination,Player 1
master-diamond,Mr. Game & Watch,Ganondorf,Yoshi’s Story,Player 2
master-diamond,Marth,Peach,Final Destination,Player 1
master-diamond,Fox,Samus,Final Destination,Player 1
master-diamond,Sheik,Pikachu,Final Destination,Player 2
master-diamond,Yoshi,Peach,Yoshi’s Story,Player 1
master-diamond,Sheik,Fox,Final Destination,Player 1
master-diamond,Pikachu,Captain Falcon,Final Destination,Player 2
master-diamond,Falco,Falco,Battlefield,Player 1
master-diamond,Captain Falcon,Peach,Battlefield,Player 1
master-diamond,Falco,Falco,Yoshi’s Story,Player 1
master-diamond,Falco,Fox,Final Destination,Player 1
master-diamond,Ganondorf,Falco,Yoshi’s Story,Player 1
master-diamond,Captain Falcon,Fox,Final Destination,Player 2
master-diamond,Fox,Falco,Pokémon Stadium,Player 1
master-diamond,Fox,Yoshi,Fountain of Dreams,Player 2
master-diamond,Fox,Captain Falcon,Pokémon Stadium,Player 1
master-diamond,Jigglypuff,Peach,Yoshi’s Story,Player 2
master-diamond,Fox,Fox,Fountain of Dreams,Player 1
master-diamond,Falco,Sheik,Final Destination,Player 2
master-diamond,Jigglypuff,Fox,Battlefield,Player 1
master-diamond,Fox,Falco,Final Destination,Player 1
master-diamond,Fox,Dr. Mario,Pokémon Stadium,Player 1
master-diamond,Marth,Fox,Yoshi’s Story,Player 2
master-diamond,Bowser,Jigglypuff,Fountain of Dreams,Player 1
master-diamond,Falco,Marth,Yoshi’s Story,Player 1
master-diamond,Ice Climbers,Ganondorf,Battlefield,Player 1
master-diamond,Yoshi,Falco,Dream Land,Player 2
master-diamond,Luigi,Sheik,Dream Land,Player 1
master-diamond,Jigglypuff,Jigglypuff,Dream Land,Player 1
master-diamond,Fox,Samus,Fountain of Dreams,Player 1
master-diamond,Falco,Jigglypuff,Final Destination,Player 2
master-diamond,Fox,Samus,Fountain of Dreams,Player 1
master-diamond,Fox,Fox,Yoshi’s Story,Player 1
master-diamond,Fox,Fox,Yoshi’s Story,Player 1
master-diamond,Peach,Fox,Final Destination,Player 1
master-diamond,Ganondorf,Jigglypuff,Final Destination,Player 2
master-diamond,Bowser,Falco,Final Destination,Player 1
master-diamond,Pikachu,Fox,Fountain of Dreams,Player 1
master-diamond,Marth,Marth,Yoshi’s Story,Player 1
master-diamond,Captain Falcon,Sheik,Yoshi’s Story,Player 1
master-diamond,Falco,Fox,Final Destination,Player 1
master-diamond,Yoshi,Fox,Yoshi’s Story,Player 1
master-diamond,Fox,Ness,Final Destination,Player 1
master-diamond,Falco,Marth,Fountain of Dreams,Player 2
master-diamond,Jigglypuff,Ness,Final Destination,Player 1
master-diamond,Marth,Falco,Yoshi’s Story,Player 1
master-diamond,Captain Falcon,Ganondorf,Final Destination,Player 1
master-diamond,Ganondorf,Fox,Final Destination,Player 1
master-diamond,Falco,Fox,Pokémon Stadium,Player 1
master-diamond,Fox,Jigglypuff,Final Destination,Player 1
master-diamond,Falco,Marth,Pokémon Stadium,Player 2
master-diamond,Fox,Fox,Yoshi’s Story,Player 1
master-diamond,Marth,Fox,Pokémon Stadium,Player 1
master-diamond,Mewtwo,Fox,Pokémon Stadium,Player 1
master-diamond,Sheik,Marth,Fountain of Dreams,Player 1
master-diamond,Samus,Sheik,Yoshi’s Story,Player 2
master-diamond,Captain Falcon,Falco,Final Destination,Player 1
master-diamond,Sheik,Sheik,Pokémon Stadium,Player 2
master-diamond,Falco,Link,Final Destination,Player 2
master-diamond,Yoshi,Mewtwo,Final Destination,Player 1
master-diamond,Jigglypuff,Marth,Yoshi’s Story,Player 1
master-diamond,Marth,Marth,Yoshi’s Story,Player 1
master-diamond,Captain Falcon,Fox,Yoshi’s Story,Player 1
master-diamond,Marth,Fox,Pokémon Stadium,Player 1
master-diamond,Captain Falcon,Marth,Final Destination,Player 2
master-diamond,Jigglypuff,Fox,Final Destination,Player 2
master-diamond,Sheik,Ness,Yoshi’s Story,Player 1
master-diamond,Fox,Samus,Yoshi’s Story,Player 1
master-diamond,Ganondorf,Fox,Final Destination,Player 2
master-diamond,Fox,Falco,Final Destination,Player 2
master-diamond,Yoshi,Jigglypuff,Yoshi’s Story,Player 2
master-diamond,Fox,Jigglypuff,Fountain of Dreams,Player 2
master-diamond,Falco,Falco,Pokémon Stadium,Player 1
master-diamond,Ganondorf,Falco,Final Destination,Player 2
master-diamond,Jigglypuff,Dr. Mario,Final Destination,Player 1
master-diamond,Sheik,Falco,Final Destination,Player 2
master-diamond,Fox,Falco,Final Destination,Player 1
master-diamond,Falco,Falco,Pokémon Stadium,Player 1
master-diamond,Fox,Falco,Yoshi’s Story,Player 2
master-diamond,Falco,Ice Climbers,Dream Land,Player 1
master-diamond,Captain Falcon,Sheik,Yoshi’s Story,Player 1
master-diamond,Falco,Samus,Pokémon Stadium,Player 1
master-diamond,Jigglypuff,Fox,Final Destination,Player 2
master-diamond,Dr. Mario,Fox,Pokémon Stadium,Player 2
master-diamond,Fox,Samus,Fountain of Dreams,Player 1
master-diamond,Marth,Falco,Yoshi’s Story,Player 1
master-diamond,Luigi,Falco,Fountain of Dreams,Player 2
master-diamond,Jigglypuff,Ganondorf,Final Destination,Player 1
master-diamond,Falco,Falco,Fountain of Dreams,Player 2
master-diamond,Falco,Marth,Pokémon Stadium,Player 1
master-diamond,Pikachu,Falco,Final Destination,Player 1
master-diamond,Falco,Peach,Final Destination,Player 2
master-diamond,Fox,Falco,Fountain of Dreams,Player 1
master-diamond,Yoshi,Pikachu,Final Destination,Player 2
master-diamond,Marth,Ice Climbers,Final Destination,Player 1
master-diamond,Fox,Falco,Yoshi’s Story,Player 1
master-diamond,Falco,Ice Climbers,Pokémon Stadium,Player 1
master-diamond,Luigi,Fox,Final Destination,Player 1
master-diamond,Falco,Marth,Battlefield,Player 2
master-diamond,Samus,Fox,Final Destination,Player 1
master-diamond,Fox,Ness,Dream Land,Player 1
master-diamond,Fox,Peach,Dream Land,Player 2
master-diamond,Jigglypuff,Jigglypuff,Final Destination,Player 2
master-diamond,Captain Falcon,Captain Falcon,Pokémon Stadium,Player 1
master-diamond,Samus,Falco,Final Destination,Player 2
master-diamond,Jigglypuff,Jigglypuff,Dream Land,Player 2
master-diamond,Fox,Samus,Yoshi’s Story,Player 1
master-diamond,Captain Falcon,Falco,Final Destination,Player 1
master-diamond,Fox,Fox,Pokémon Stadium,Player 1
master-diamond,Fox,Marth,Fountain of Dreams,Player 2
master-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 2
master-diamond,Fox,Marth,Final Destination,Player 1
master-diamond,Falco,Fox,Yoshi’s Story,Player 2
master-diamond,Captain Falcon,Marth,Pokémon Stadium,Player 1
master-diamond,Fox,Jigglypuff,Pokémon Stadium,Player 1
master-diamond,Marth,Mewtwo,Pokémon Stadium,Player 1
master-diamond,Sheik,Fox,Pokémon Stadium,Player 1
master-diamond,Ganondorf,Fox,Final Destination,Player 2
master-diamond,Marth,Falco,Dream Land,Player 1
master-diamond,Fox,Dr. Mario,Battlefield,Player 2
master-diamond,Fox,Fox,Yoshi’s Story,Player 1
master-diamond,Falco,Mr. Game & Watch,Pokémon Stadium,Player 1
master-diamond,Fox,Falco,Final Destination,Player 1
master-diamond,Samus,Falco,Pokémon Stadium,Player 1
master-diamond,Jigglypuff,Ness,Final Destination,Player 2
master-diamond,Fox,Mewtwo,Final Destination,Player 1
master-diamond,Marth,Fox,Fountain of Dreams,Player 2
master-diamond,Captain Falcon,Falco,Pokémon Stadium,Player 1
master-diamond,Falco,Jigglypuff,Final Destination,Player 1
master-diamond,Marth,Fox,Final Destination,Player 1
master-diamond,Dr. Mario,Marth,Battlefield,Player 2
master-diamond,Marth,Jigglypuff,Battlefield,Player 1
master-diamond,Falco,Pikachu,Yoshi’s Story,Player 2
master-diamond,Fox,Peach,Final Destination,Player 2
master-diamond,Falco,Fox,Battlefield,Player 2
master-diamond,Marth,Falco,Final Destination,Player 2
master-diamond,Fox,Sheik,Final Destination,Player 1
master-diamond,Fox,Peach,Yoshi’s Story,Player 1
master-diamond,Marth,Sheik,Yoshi’s Story,Player 2
master-diamond,Peach,Mr. Game & Watch,Fountain of Dreams,Player 2
master-diamond,Captain Falcon,Fox,Pokémon Stadium,Player 2
master-diamond,Samus,Marth,Yoshi’s Story,Player 2
master-diamond,Fox,Falco,Yoshi’s Story,Player 1
master-diamond,Fox,Yoshi,Final Destination,Player 2
master-diamond,Fox,Fox,Dream Land,Player 1
master-diamond,Jigglypuff,Falco,Fountain of Dreams,Player 1
master-diamond,Sheik,Sheik,Final Destination,Player 2
master-diamond,Marth,Marth,Battlefield,Player 2
master-diamond,Fox,Jigglypuff,Yoshi’s Story,Player 1
master-diamond,Falco,Mr. Game & Watch,Pokémon Stadium,Player 1
master-diamond,Fox,Marth,Final Destination,Player 2
master-diamond,Falco,Jigglypuff,Yoshi’s Story,Player 2
master-diamond,Ganondorf,Falco,Pokémon Stadium,Player 1
master-diamond,Peach,Fox,Battlefield,Player 1
master-diamond,Falco,Falco,Fountain of Dreams,Player 1
master-diamond,Captain Falcon,Marth,Yoshi’s Story,Player 1
master-diamond,Sheik,Marth,Yoshi’s Story,Player 1
master-diamond,Falco,Marth,Final Destination,Player 2
master-diamond,Donkey Kong,Mario,Yoshi’s Story,Player 1
master-diamond,Fox,Falco,Yoshi’s Story,Player 2
master-diamond,Luigi,Yoshi,Battlefield,Player 2
master-diamond,Jigglypuff,Fox,Dream Land,Player 2
master-diamond,Marth,Link,Pokémon Stadium,Player 2
master-diamond,Falco,Jigglypuff,Fountain of Dreams,Player 1
master-diamond,Fox,Samus,Final Destination,Player 1
master-diamond,Fox,Ness,Final Destination,Player 1
master-diamond,Ganondorf,Jigglypuff,Dream Land,Player 2
master-diamond,Falco,Fox,Battlefield,Player 1
master-diamond,Falco,Sheik,Final Destination,Player 2
master-diamond,Yoshi,Jigglypuff,Final Destination,Player 2
master-diamond,Yoshi,Jigglypuff,Fountain of Dreams,Player 2
master-diamond,Luigi,Sheik,Final Destination,Player 1
master-diamond,Falco,Fox,Battlefield,Player 2
master-diamond,Dr. Mario,Falco,Yoshi’s Story,Player 1
master-diamond,Falco,Captain Falcon,Pokémon Stadium,Player 2
master-diamond,Marth,Ness,Final Destination,Player 1
master-diamond,Sheik,Falco,Yoshi’s Story,Player 2
master-diamond,Falco,Marth,Yoshi’s Story,Player 2
master-diamond,Yoshi,Ness,Dream Land,Player 1
master-diamond,Marth,Falco,Yoshi’s Story,Player 1
master-diamond,Link,Peach,Battlefield,Player 1
master-diamond,Jigglypuff,Captain Falcon,Final Destination,Player 1
master-diamond,Marth,Falco,Final Destination,Player 1
master-diamond,Fox,Marth,Pokémon Stadium,Player 1
master-diamond,Fox,Falco,Pokémon Stadium,Player 1
master-diamond,Luigi,Fox,Pokémon Stadium,Player 2
master-diamond,Marth,Ness,Final Destination,Player 1
master-diamond,Fox,Ice Climbers,Pokémon Stadium,Player 1
master-diamond,Fox,Falco,Final Destination,Player 1
master-diamond,Jigglypuff,Ganondorf,Dream Land,Player 2
master-diamond,Yoshi,Fox,Final Destination,Player 1
master-diamond,Captain Falcon,Pikachu,Final Destination,Player 2
master-diamond,Captain Falcon,Jigglypuff,Final Destination,Player 2
master-diamond,Falco,Jigglypuff,Final Destination,Player 1
master-diamond,Falco,Luigi,Final Destination,Player 1
master-diamond,Sheik,Fox,Dream Land,Player 1
master-diamond,Falco,Fox,Yoshi’s Story,Player 2
